geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2020-01-13,100
city,Birmingham,driving,NA,Alabama,United States,2020-01-14,100.39
city,Birmingham,driving,NA,Alabama,United States,2020-01-15,101.95
city,Birmingham,driving,NA,Alabama,United States,2020-01-16,105.97
city,Birmingham,driving,NA,Alabama,United States,2020-01-17,124.99
city,Birmingham,driving,NA,Alabama,United States,2020-01-18,109.89
city,Birmingham,driving,NA,Alabama,United States,2020-01-19,84.12
city,Birmingham,driving,NA,Alabama,United States,2020-01-20,99.43
city,Birmingham,driving,NA,Alabama,United States,2020-01-21,97.73
city,Birmingham,driving,NA,Alabama,United States,2020-01-22,97.87
city,Birmingham,driving,NA,Alabama,United States,2020-01-23,104.81
city,Birmingham,driving,NA,Alabama,United States,2020-01-24,122.05
city,Birmingham,driving,NA,Alabama,United States,2020-01-25,116.86
city,Birmingham,driving,NA,Alabama,United States,2020-01-26,74.25
city,Birmingham,driving,NA,Alabama,United States,2020-01-27,98.87
city,Birmingham,driving,NA,Alabama,United States,2020-01-28,98.58
city,Birmingham,driving,NA,Alabama,United States,2020-01-29,96.17
city,Birmingham,driving,NA,Alabama,United States,2020-01-30,105.42
city,Birmingham,driving,NA,Alabama,United States,2020-01-31,124.98
city,Birmingham,driving,NA,Alabama,United States,2020-02-01,114.77
city,Birmingham,driving,NA,Alabama,United States,2020-02-02,78.92
city,Birmingham,driving,NA,Alabama,United States,2020-02-03,94.57
city,Birmingham,driving,NA,Alabama,United States,2020-02-04,97.1
city,Birmingham,driving,NA,Alabama,United States,2020-02-05,96.17
city,Birmingham,driving,NA,Alabama,United States,2020-02-06,102.71
city,Birmingham,driving,NA,Alabama,United States,2020-02-07,120.15
city,Birmingham,driving,NA,Alabama,United States,2020-02-08,116.09
city,Birmingham,driving,NA,Alabama,United States,2020-02-09,82.85
city,Birmingham,driving,NA,Alabama,United States,2020-02-10,95.58
city,Birmingham,driving,NA,Alabama,United States,2020-02-11,101.42
city,Birmingham,driving,NA,Alabama,United States,2020-02-12,103.6
